bussiness_proportion
ISP,480
Business,536
Cloud,60
N/A,18
Education,54
net_rank
Meteverse Limited.,1
Beijing Jingdong Shangke Information Technology Co. Ltd.,1
China Telecom Next Generation Carrier Network,2
CNIC-CAS,1
RongHua Road No.11, Beijing Economy Technology Development Area, 100176,3
BEIJING SHENZHOU GREATWALL COMMUNICATION,9
China TieTong Telecommunications Corporation,50
China Mobile,2
Oriental Cable Network Co., Ltd.,57
5F Greatwall Bldg., A38 Xueyuan Road Haidian District,Beijing,8
Daqing zhongji petroleum telecommunication construction limited cpmpany,7
CHONGQING CNC BROADBAND NETWORKS CO.,LTD,1
KuanggongLu, Pingdingshan, Henan, China,1
Huashu media&Network Limited,18
Hangzhou Alibaba Advertising Co.,Ltd.,15
Shenzhen Tencent Computer Systems Company Limited,236
GUANGXI RADIO & TELEVISION INFORMATION NETWORK CO.,LTD.,21
West263 International Limited,4
Big Data Center Of Shandong Province,1
ShenZhen Topway Video Communication Co. Ltd,10
Chengdu Information Harbor Co., Ltd,1
CNNIC member,9
21vianet(China) Inc.,28
Data Management Centre National Bureau of Statistics of China,3
SHENZHEN NOVA TECHNOLOGIES DEVELOPMENT.,LTD.,66
Beijing Times Netstar Technology Co.,Ltd,6
Development & Research Center of State Council Net.,31
Beijing FibrLINK Networks Co.,Ltd.,262
China Enterprise ICT Solutions Limited,60
XINHUA NEWS AGENCY,6
Beijing Dian-Xin-Tong Network Technologies Co., Ltd.,30
NO.11 Xi San Huan Zhong Road,Beijing,10
State Power Information Net,14
Beijing Guanghuan Xinwang Digital,1
BEIJING CBD TELECOM CO,.LTD,3
China Internet Network Infomation Center,45
Jia No.8, North Lishi Road, Xicheng Dist.Beijing, China,31
China Financial Certification Authority,7
shanghai science and technology network communication limited company,26
Shanghai Data Solution Co., Ltd.,56
5/F, Zhujiang Yide Building, 362 Dongfeng Middle Road, Yuexiu District,,5
