index,pfx,orgName,orgAS,regDate,RIR,business,isCert,isAuth,isAder,isConf
1,43.251.12.0/22,China Unicom (Hong Kong) Operations Limited,10099,20141104,apnic,ISP,False,False,False,False
2,43.252.84.0/22,China Unicom (Hong Kong) Operations Limited,10099,20140605,apnic,ISP,False,False,True,False
3,43.255.168.0/22,China Unicom (Hong Kong) Operations Limited,10099,20140807,apnic,ISP,False,False,True,False
4,61.14.200.0/22,China Unicom (Hong Kong) Operations Limited,10099,20151113,apnic,ISP,False,False,True,False
5,103.1.64.0/22,China Unicom (Hong Kong) Operations Limited,10099,20110418,apnic,ISP,False,False,True,False
6,103.69.184.0/22,China Unicom (Hong Kong) Operations Limited,10099,20160719,apnic,ISP,False,False,True,False
7,103.77.20.0/22,China Unicom (Hong Kong) Operations Limited,10099,20161014,apnic,ISP,False,False,True,False
8,103.86.12.0/22,China Unicom (Hong Kong) Operations Limited,10099,20170216,apnic,ISP,False,False,True,False
9,103.95.176.0/22,China Unicom (Hong Kong) Operations Limited,10099,20170623,apnic,ISP,False,False,True,False
10,103.107.88.0/22,China Unicom (Hong Kong) Operations Limited,10099,20180110,apnic,ISP,False,False,True,False
11,103.118.36.0/22,China Unicom (Hong Kong) Operations Limited,10099,20180706,apnic,ISP,False,False,True,False
12,103.203.184.0/22,China Unicom (Hong Kong) Operations Limited,10099,20151202,apnic,ISP,False,False,True,False
13,103.214.64.0/22,China Unicom (Hong Kong) Operations Limited,10099,20160408,apnic,ISP,False,False,True,False
14,103.228.68.0/22,China Unicom (Hong Kong) Operations Limited,10099,20140324,apnic,ISP,False,False,True,False
15,103.229.244.0/22,China Unicom (Hong Kong) Operations Limited,10099,20140423,apnic,ISP,False,False,True,False
16,103.239.176.0/22,China Unicom (Hong Kong) Operations Limited,10099,20140807,apnic,ISP,False,False,True,False
17,118.26.144.0/20,China Unicom (Hong Kong) Operations Limited,10099,20070803,apnic,ISP,False,False,True,False
18,119.224.96.0/19,China Unicom (Hong Kong) Operations Limited,10099,20080226,apnic,ISP,False,False,True,False
19,119.252.136.0/21,China Unicom (Hong Kong) Operations Limited,10099,20080313,apnic,ISP,False,False,True,False
20,121.46.116.0/22,China Unicom (Hong Kong) Operations Limited,10099,20160127,apnic,ISP,False,False,True,False
21,121.91.88.0/21,China Unicom (Hong Kong) Operations Limited,10099,20071005,apnic,ISP,False,False,True,False
22,121.91.136.0/21,China Unicom (Hong Kong) Operations Limited,10099,20071126,apnic,ISP,False,False,True,False
23,136.143.224.0/20,China Unicom (Hong Kong) Operations Limited,10099,19890822,apnic,ISP,False,False,True,False
24,162.219.32.0/21,China Unicom (Hong Kong) Operations Limited,10099,20130808,apnic,ISP,False,False,True,False
25,162.219.80.0/21,China Unicom (Hong Kong) Operations Limited,10099,20130812,apnic,ISP,False,False,True,False
26,162.245.124.0/22,China Unicom (Hong Kong) Operations Limited,10099,20140326,apnic,ISP,False,False,True,False
27,162.247.4.0/22,China Unicom (Hong Kong) Operations Limited,10099,20140415,apnic,ISP,False,False,True,False
