source,target,rel,type
174,209,0,ipv6
174,701,0,ipv6
174,1299,0,ipv6
174,2914,0,ipv6
174,3257,0,ipv6
174,3320,0,ipv6
174,3356,0,ipv6
174,3491,0,ipv6
174,5511,0,ipv6
174,6453,0,ipv6
174,6461,0,ipv6
174,6762,0,ipv6
174,6830,0,ipv6
174,7018,0,ipv6
174,12956,0,ipv6
209,701,0,ipv6
209,1299,0,ipv6
209,2914,0,ipv6
209,3257,0,ipv6
209,3320,0,ipv6
209,3356,0,ipv6
209,3491,0,ipv6
209,5511,0,ipv6
209,6453,0,ipv6
209,6461,0,ipv6
209,6762,0,ipv6
209,6830,0,ipv6
209,7018,0,ipv6
209,12956,0,ipv6
701,1299,0,ipv6
701,2914,0,ipv6
701,3257,0,ipv6
701,3320,0,ipv6
701,3356,0,ipv6
701,3491,0,ipv6
701,5511,0,ipv6
701,6453,0,ipv6
701,6461,0,ipv6
701,6762,0,ipv6
701,6830,0,ipv6
701,7018,0,ipv6
701,12956,0,ipv6
1299,2914,0,ipv6
1299,3257,0,ipv6
1299,3320,0,ipv6
1299,3356,0,ipv6
1299,3491,0,ipv6
1299,5511,0,ipv6
1299,6453,0,ipv6
1299,6461,0,ipv6
1299,6762,0,ipv6
1299,6830,0,ipv6
1299,7018,0,ipv6
1299,12956,0,ipv6
2914,3257,0,ipv6
2914,3320,0,ipv6
2914,3356,0,ipv6
2914,3491,0,ipv6
2914,5511,0,ipv6
2914,6453,0,ipv6
2914,6461,0,ipv6
2914,6762,0,ipv6
2914,6830,0,ipv6
2914,7018,0,ipv6
2914,12956,0,ipv6
3257,3320,0,ipv6
3257,3356,0,ipv6
3257,3491,0,ipv6
3257,5511,0,ipv6
3257,6453,0,ipv6
3257,6461,0,ipv6
3257,6762,0,ipv6
3257,6830,0,ipv6
3257,7018,0,ipv6
3257,12956,0,ipv6
3320,3356,0,ipv6
3320,3491,0,ipv6
3320,5511,0,ipv6
3320,6453,0,ipv6
3320,6461,0,ipv6
3320,6762,0,ipv6
3320,6830,0,ipv6
3320,7018,0,ipv6
3320,12956,0,ipv6
3356,3491,0,ipv6
3356,5511,0,ipv6
3356,6453,0,ipv6
3356,6461,0,ipv6
3356,6762,0,ipv6
3356,6830,0,ipv6
3356,7018,0,ipv6
3356,12956,0,ipv6
3491,5511,0,ipv6
3491,6453,0,ipv6
3491,6461,0,ipv6
3491,6762,0,ipv6
3491,6830,0,ipv6
3491,7018,0,ipv6
3491,12956,0,ipv6
5511,6453,0,ipv6
5511,6461,0,ipv6
5511,6762,0,ipv6
5511,6830,0,ipv6
5511,7018,0,ipv6
5511,12956,0,ipv6
6453,6461,0,ipv6
6453,6762,0,ipv6
6453,6830,0,ipv6
6453,7018,0,ipv6
6453,12956,0,ipv6
6461,6762,0,ipv6
6461,6830,0,ipv6
6461,7018,0,ipv6
6461,12956,0,ipv6
6762,6830,0,ipv6
6762,7018,0,ipv6
6762,12956,0,ipv6
6830,7018,0,ipv6
6830,12956,0,ipv6
7018,12956,0,ipv6
3356,6939,-1,ipv6
1299,6939,-1,ipv6
3491,6939,-1,ipv6
174,137409,-1,ipv6
3356,137409,-1,ipv6
6461,137409,-1,ipv6
2914,137409,-1,ipv6
174,37468,-1,ipv6
3356,37468,-1,ipv6
1299,37468,-1,ipv6
3257,37468,-1,ipv6
2914,37468,-1,ipv6
6453,37468,-1,ipv6
12956,37468,-1,ipv6
174,7195,-1,ipv6
3356,7195,-1,ipv6
1299,7195,-1,ipv6
3257,7195,-1,ipv6
174,37100,-1,ipv6
3356,37100,-1,ipv6
1299,37100,-1,ipv6
3257,37100,-1,ipv6
2914,37100,-1,ipv6
6762,37100,-1,ipv6
6453,37100,-1,ipv6
174,4455,-1,ipv6
1299,4455,-1,ipv6
6453,4455,-1,ipv6
3356,33891,-1,ipv6
1299,33891,-1,ipv6
3257,33891,-1,ipv6
3320,33891,-1,ipv6
174,20485,-1,ipv6
1299,20485,-1,ipv6
3491,20485,-1,ipv6
6762,20485,-1,ipv6
3356,8220,-1,ipv6
1299,8220,-1,ipv6
2914,8220,-1,ipv6
6453,8220,-1,ipv6
174,20764,-1,ipv6
3356,20764,-1,ipv6
6939,20764,-1,ipv6
20485,20764,-1,ipv6
3356,9002,-1,ipv6
1299,5405,-1,ipv6
3257,5405,-1,ipv6
2914,5405,-1,ipv6
3320,5405,-1,ipv6
174,52320,-1,ipv6
3356,52320,-1,ipv6
6461,52320,-1,ipv6
1299,52320,-1,ipv6
2914,52320,-1,ipv6
12956,52320,-1,ipv6
6939,52320,-1,ipv6
7195,52320,-1,ipv6
174,3216,-1,ipv6
3356,3216,-1,ipv6
1299,3216,-1,ipv6
6762,3216,-1,ipv6
6453,3216,-1,ipv6
174,12389,-1,ipv6
1299,12389,-1,ipv6
3257,12389,-1,ipv6
3491,12389,-1,ipv6
6762,12389,-1,ipv6
5511,12389,-1,ipv6
6939,12389,-1,ipv6
3356,4826,-1,ipv6
1299,4826,-1,ipv6
3257,4826,-1,ipv6
3491,4826,-1,ipv6
6939,4826,-1,ipv6
174,9498,-1,ipv6
6461,9498,-1,ipv6
1299,9498,-1,ipv6
3257,9498,-1,ipv6
2914,9498,-1,ipv6
3491,9498,-1,ipv6
6762,9498,-1,ipv6
6453,9498,-1,ipv6
4826,9498,-1,ipv6
174,3303,-1,ipv6
3356,3303,-1,ipv6
3320,3303,-1,ipv6
6939,3303,-1,ipv6
174,13335,-1,ipv6
3356,13335,-1,ipv6
1299,13335,-1,ipv6
3257,13335,-1,ipv6
2914,13335,-1,ipv6
6762,13335,-1,ipv6
6453,13335,-1,ipv6
5511,13335,-1,ipv6
12956,13335,-1,ipv6
37468,13335,-1,ipv6
37100,13335,-1,ipv6
3216,13335,-1,ipv6
12389,13335,-1,ipv6
4826,13335,-1,ipv6
9498,13335,-1,ipv6
3356,46887,-1,ipv6
6461,46887,-1,ipv6
1299,46887,-1,ipv6
3257,46887,-1,ipv6
3356,8359,-1,ipv6
1299,8359,-1,ipv6
12389,8359,-1,ipv6
3356,32787,-1,ipv6
6461,32787,-1,ipv6
1299,32787,-1,ipv6
2914,32787,-1,ipv6
3491,32787,-1,ipv6
6762,32787,-1,ipv6
6453,32787,-1,ipv6
33891,32787,-1,ipv6
4826,32787,-1,ipv6
9498,32787,-1,ipv6
174,15830,-1,ipv6
3356,15830,-1,ipv6
1299,15830,-1,ipv6
3257,15830,-1,ipv6
2914,15830,-1,ipv6
3491,15830,-1,ipv6
6762,15830,-1,ipv6
12956,15830,-1,ipv6
4826,15830,-1,ipv6
9498,15830,-1,ipv6
13335,15830,-1,ipv6
3356,41095,-1,ipv6
3491,41095,-1,ipv6
6762,41095,-1,ipv6
137409,41095,-1,ipv6
174,31133,-1,ipv6
1299,31133,-1,ipv6
6762,31133,-1,ipv6
174,58453,-1,ipv6
3356,58453,-1,ipv6
1299,58453,-1,ipv6
3257,58453,-1,ipv6
2914,58453,-1,ipv6
701,58453,-1,ipv6
4826,58453,-1,ipv6
174,16735,-1,ipv6
3356,16735,-1,ipv6
6762,16735,-1,ipv6
3491,22356,-1,ipv6
6453,22356,-1,ipv6
6453,4755,-1,ipv6
174,23764,-1,ipv6
3356,23764,-1,ipv6
1299,23764,-1,ipv6
3257,23764,-1,ipv6
2914,23764,-1,ipv6
3491,23764,-1,ipv6
3320,23764,-1,ipv6
6762,23764,-1,ipv6
6453,23764,-1,ipv6
12956,23764,-1,ipv6
6939,23764,-1,ipv6
37100,23764,-1,ipv6
174,9304,-1,ipv6
3257,9304,-1,ipv6
2914,9304,-1,ipv6
6762,9304,-1,ipv6
6453,9304,-1,ipv6
5511,9304,-1,ipv6
9002,9304,-1,ipv6
9498,9304,-1,ipv6
32787,9304,-1,ipv6
3356,4637,-1,ipv6
6461,4637,-1,ipv6
1299,4637,-1,ipv6
4826,4637,-1,ipv6
174,7713,-1,ipv6
3356,7713,-1,ipv6
1299,7713,-1,ipv6
3257,7713,-1,ipv6
2914,7713,-1,ipv6
701,7713,-1,ipv6
6762,7713,-1,ipv6
6453,7713,-1,ipv6
3257,28917,-1,ipv6
174,12741,-1,ipv6
3356,12741,-1,ipv6
174,4766,-1,ipv6
3356,4766,-1,ipv6
1299,4766,-1,ipv6
701,4766,-1,ipv6
6939,4766,-1,ipv6
174,13786,-1,ipv6
3356,13786,-1,ipv6
2914,13786,-1,ipv6
7195,13786,-1,ipv6
174,15412,-1,ipv6
1299,15412,-1,ipv6
2914,15412,-1,ipv6
6762,15412,-1,ipv6
9498,15412,-1,ipv6
174,4230,-1,ipv6
3356,4230,-1,ipv6
1299,4230,-1,ipv6
3257,4230,-1,ipv6
701,4230,-1,ipv6
6762,4230,-1,ipv6
6453,4230,-1,ipv6
174,14840,-1,ipv6
3356,14840,-1,ipv6
1299,14840,-1,ipv6
6762,14840,-1,ipv6
1299,9049,-1,ipv6
20485,9049,-1,ipv6
9002,9049,-1,ipv6
12389,9049,-1,ipv6
174,58717,-1,ipv6
2914,58717,-1,ipv6
6762,58717,-1,ipv6
6453,58717,-1,ipv6
6939,58717,-1,ipv6
9002,58717,-1,ipv6
9498,58717,-1,ipv6
58453,58717,-1,ipv6
3356,57304,-1,ipv6
9002,57304,-1,ipv6
3356,3549,-1,ipv6
174,52468,-1,ipv6
3356,52468,-1,ipv6
1299,52468,-1,ipv6
6762,52468,-1,ipv6
5511,52468,-1,ipv6
12956,52468,-1,ipv6
7195,52468,-1,ipv6
52320,52468,-1,ipv6
22356,52468,-1,ipv6
3549,52468,-1,ipv6
174,61568,-1,ipv6
6762,61568,-1,ipv6
37468,61568,-1,ipv6
174,35598,-1,ipv6
1299,35598,-1,ipv6
6939,35598,-1,ipv6
3216,35598,-1,ipv6
31133,35598,-1,ipv6
174,7545,-1,ipv6
1299,7545,-1,ipv6
6453,7545,-1,ipv6
174,262589,-1,ipv6
1299,262589,-1,ipv6
6762,262589,-1,ipv6
6453,262589,-1,ipv6
12956,262589,-1,ipv6
37468,262589,-1,ipv6
174,53062,-1,ipv6
3356,53062,-1,ipv6
6762,53062,-1,ipv6
37468,53062,-1,ipv6
7195,53062,-1,ipv6
52320,53062,-1,ipv6
16735,53062,-1,ipv6
52468,53062,-1,ipv6
262589,53062,-1,ipv6
2914,24482,-1,ipv6
3491,24482,-1,ipv6
6453,24482,-1,ipv6
174,20495,-1,ipv6
