id,asnName,country,angle,cone,asrank,date,trasit,outgree,ingree,degree
3356,LEVEL3,United States,-90.9223108130135,53586,1,20241209,85,6584,0,6669
1299,TWELVE99,Sweden,-2.39133111440847,42983,2,20241209,46,2425,0,2471
174,COGENT-174,United States,-85.3526612193626,36877,3,20241209,96,6709,0,6805
2914,NTT-LTD-2914,United States,-115.874552091587,26549,4,20241209,54,1495,0,1549
6939,HURRICANE,United States,-111.890591677201,21664,5,20241209,7244,2251,4,9499
6762,SEABONE-NET,Italy,7.76906062912876,20564,6,20241209,64,616,1,681
3257,GTT-BACKBONE,United States,2.63760907044091,19831,7,20241209,54,1805,0,1859
6453,AS6453,United States,-53.1911971259297,19428,8,20241209,51,590,0,641
6461,ZAYO-6461,United States,-88.5280704944221,18891,9,20241209,432,2271,0,2703
5511,Opentransit,France,-56.1015827086344,10434,10,20241209,51,314,0,365
9002,RETN-AS,United Kingdom,0,10105,11,20241209,1126,1079,2,2207
3491,CONSOLE-CONNECT-ASN,United States,-109.422187342937,9972,12,20241209,130,622,0,752
1273,CW,European Union,-4.0842626156392,6474,13,20241209,137,166,1,304
12956,TELXIUS,Spain,-41.0243110276023,5675,14,20241209,56,198,1,255
4637,ASN-TELSTRA-GLOBAL,Hong Kong,112.251209199522,5427,15,20241209,288,392,5,685
7195,,Colombia,-69.2726948155458,4649,16,20241209,2227,195,3,2425
7473,SINGTEL-AS-AP,Singapore,105.782607232937,4377,17,20241209,133,180,4,317
12389,ROSTELECOM-AS,Russia,59.7217255865363,4003,18,20241209,92,1149,8,1249
3320,DTAG,Germany,9.51260394784575,3990,19,20241209,85,615,0,700
13786,SEABORN,United States,-57.791272347681,3923,20,20241209,541,165,7,713
16735,,Brazil,-46.4866969004974,3529,21,20241209,234,562,3,799
52320,,Colombia,-63.6220536462147,3467,22,20241209,1907,86,7,2000
37468,ANGOLA-CABLES,Angola,1.70713017550279,3441,23,20241209,2608,159,9,2776
9498,BBIL-AP,India,77.3433622043355,3384,24,20241209,267,913,9,1189
3216,SOVAM-AS,Russia,41.4939439284356,3123,25,20241209,1225,830,7,2062
6830,LibertyGlobal,Netherlands,12.3691753479699,2966,26,20241209,154,193,0,347
701,UUNET,United States,-79.4524020337028,2869,27,20241209,38,1189,0,1227
31133,MF-MGSM-AS,Russia,42.7353054441312,2796,28,20241209,324,586,3,913
7018,ATT-INTERNET4,United States,-96.0655068990784,2727,29,20241209,42,2302,0,2344
4755,TATACOMM-AS,India,75.6741829685389,2506,30,20241209,19,751,2,772
20764,RASCOM-AS,Russia,32.6043063633393,2480,31,20241209,1647,266,5,1918
7922,COMCAST-7922,United States,-88.1496925386988,2319,32,20241209,86,104,4,194
20495,WEDARE,Netherlands,4.5928116844303,2303,33,20241209,128,242,2,372
20485,TRANSTELECOM,Russia,46.1324012540977,2269,34,20241209,724,687,6,1417
9121,TTNet,Turkey,31.3230495616267,2206,35,20241209,41,279,4,324
33891,CORE-BACKBONE,Germany,0,2158,36,20241209,1748,226,4,1978
7660,APAN-JP,Japan,139.75,2088,37,20241209,24,233,3,260
58453,CMI-INT-HK,Hong Kong,114.102507394636,2061,38,20241209,519,130,9,658
10429,,Brazil,0,1661,39,20241209,20,302,2,324
15412,FLAG-AS,United Kingdom,86.714243885505,1601,40,20241209,547,42,8,597
4230,,Brazil,-45.8639054851223,1598,41,20241209,205,395,8,608
35598,INETCOM,Russia,37.5243612589952,1585,42,20241209,2059,248,6,2313
28917,Fiord-AS,Lithuania,34.5482555292883,1580,43,20241209,1587,157,3,1747
1031,PEER1-1031,United States,0,1578,44,20241209,842,67,4,913
53013,,Brazil,-47.3893866237315,1551,45,20241209,35,286,5,326
8220,COLT,United Kingdom,9.32722693985428,1512,46,20241209,928,1059,5,1992
4826,VOCUS-BACKBONE-AS,Australia,138.487155914811,1506,47,20241209,675,659,7,1341
7738,,Brazil,-45.125017740868,1479,48,20241209,24,138,2,164
262589,Megatelecom Telecomunicacoes Ltda,Brazil,-74.3343966634448,1439,49,20241209,216,203,10,429
57304,RETNRU-AS,Russia,39.2614928483388,1343,50,20241209,244,412,2,658
