source,target,rel,cone
401307,400610,-1,1
26415,328474,0,1
26415,329035,0,1
26415,397131,0,1
26425,23503,-1,1
26446,4181,0,1
26459,293,0,1
26459,1828,0,1
26459,4181,0,1
26459,4826,0,1
26459,6939,0,1
26459,7575,0,1
26459,7713,0,1
26459,8220,0,1
26459,8359,0,1
26459,9304,0,1
26459,11039,0,1
26459,13786,0,1
26459,14061,0,1
26459,16552,0,1
26459,16735,0,1
26459,17639,0,1
26459,18106,0,1
26459,19653,0,1
26459,24482,0,1
26459,24516,0,1
26459,35280,0,1
26459,36351,0,1
26459,37468,0,1
26459,37721,0,1
26415,328266,0,1
26415,327960,0,1
135895,4857,0,1
135895,7477,0,1
26388,6423,0,1
26388,6939,0,1
135895,24395,0,1
26413,26227,-1,1
135895,24033,0,1
135895,23943,0,1
135895,23913,0,1
26415,5670,0,1
26415,6720,0,1
135895,23669,0,1
135895,19679,0,1
26415,16552,0,1
135895,17535,0,1
135895,16552,0,1
26459,39120,0,1
26415,29479,0,1
135895,13445,0,1
135895,13150,0,1
26415,37989,0,1
135895,10083,0,1
135895,9648,0,1
135895,9342,0,1
26415,51185,0,1
26415,51786,0,1
135895,9266,0,1
26415,57777,0,1
26415,59890,0,1
26415,59891,0,1
135895,7862,0,1
26415,62167,0,1
26415,29504,0,1
26459,40934,0,1
26459,49544,0,1
26459,51185,0,1
135834,147209,-1,1
135834,138291,-1,1
135817,150098,-1,1
135817,139508,-1,1
135817,138297,-1,1
135817,137655,-1,1
135817,136720,-1,1
26496,40934,0,1
135817,136354,-1,1
135817,135783,-1,1
135817,133318,-1,1
135814,63293,-1,1
26496,132337,0,1
26496,398101,-1,1
135834,150011,-1,1
26496,398109,-1,1
26496,398789,-1,1
26505,262933,-1,1
26505,265825,-1,1
26505,266780,-1,1
26512,17336,-1,1
26512,40632,-1,1
26512,395515,-1,1
26523,1403,0,1
26523,11998,-1,1
26523,17120,-1,1
26523,39951,-1,1
26548,1798,0,1
135810,150621,-1,1
26548,31786,-1,1
26496,398110,-1,1
26388,1798,0,1
135851,135802,-1,1
135851,136297,-1,1
26459,52320,0,1
26459,53828,0,1
26459,57695,0,1
26459,58511,0,1
26459,59605,0,1
26459,63927,0,1
26459,132337,0,1
26459,137409,0,1
26459,199524,0,1
26464,12637,0,1
26464,14061,0,1
26464,37468,0,1
26464,47147,0,1
26464,52320,0,1
26496,11039,0,1
26464,59890,0,1
26479,2532,-1,1
26479,10882,-1,1
26479,11381,-1,1
26479,33116,-1,1
26479,62798,-1,1
135895,4778,0,1
135895,3856,0,1
135895,2635,0,1
135852,146855,-1,1
135852,141873,-1,1
135852,141261,-1,1
135852,136481,-1,1
135852,134250,-1,1
135851,137151,-1,1
26479,1999,-1,1
26548,35830,-1,1
26375,11826,-1,1
26370,26566,-1,1
26106,32653,0,1
26106,37239,0,1
26106,37468,0,1
26106,37497,0,1
26106,37680,0,1
26106,37721,0,1
26106,39120,0,1
26106,49544,0,1
26106,199524,0,1
26106,327804,0,1
26106,327960,0,1
26106,327983,0,1
26106,328266,0,1
26106,328474,0,1
26106,328512,0,1
26106,329035,0,1
26110,62589,-1,1
26110,394989,-1,1
26110,400078,-1,1
26134,16838,-1,1
26152,1828,0,1
26152,4608,0,1
26152,4826,0,1
26152,4844,0,1
26152,6939,0,1
26152,7713,0,1
26152,8220,0,1
26152,9902,0,1
26152,16552,0,1
